         130222 function calls (122138 primitive calls) in 0.077 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       72    0.000    0.000    0.000    0.000 compiler_machinery.py:25(__exit__)
       24    0.000    0.000    0.076    0.003 compiler_machinery.py:259(_runPass)
       72    0.000    0.000    0.075    0.001 compiler_machinery.py:263(check)
       48    0.000    0.000    0.000    0.000 compiler_machinery.py:271(debug_print)
        1    0.000    0.000    0.076    0.076 compiler_machinery.py:318(run)
        2    0.000    0.000    0.000    0.000 compiler_machinery.py:34(__init__)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:343(dependency_analysis)
       23    0.000    0.000    0.000    0.000 compiler_machinery.py:358(resolve_requires)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:359(walk)
       72    0.000    0.000    0.000    0.000 compiler_machinery.py:39(name)
       72    0.000    0.000    0.000    0.000 compiler_machinery.py:402(is_registered)
       48    0.000    0.000    0.000    0.000 compiler_machinery.py:405(get)
       24    0.000    0.000    0.000    0.000 compiler_machinery.py:67(analysis)
       24    0.000    0.000    0.000    0.000 compiler_machinery.py:74(run_initialization)
       24    0.000    0.000    0.000    0.000 compiler_machinery.py:89(run_finalizer)
       22    0.000    0.000    0.000    0.000 compiler_machinery.py:96(get_analysis_usage)
        1    0.000    0.000    0.000    0.000 config.py:385(reload_config)
        1    0.000    0.000    0.000    0.000 config.py:80(update)
        1    0.000    0.000    0.000    0.000 consts.py:18(__init__)
        6    0.000    0.000    0.000    0.000 consts.py:24(infer_constant)
        3    0.000    0.000    0.000    0.000 consts.py:56(_do_infer)
        2    0.000    0.000    0.000    0.000 containers.py:15(__init__)
       34    0.000    0.000    0.000    0.000 containers.py:21(key)
        1    0.000    0.000    0.000    0.000 context.py:107(__init__)
        1    0.000    0.000    0.000    0.000 context.py:11(__init__)
        5    0.000    0.000    0.000    0.000 context.py:13(__init__)
        2    0.000    0.000    0.000    0.000 context.py:133(__init__)
        2    0.000    0.000    0.000    0.000 context.py:146(init)
       39    0.000    0.000    0.000    0.000 context.py:15(_require_nrt)
        2    0.000    0.000    0.000    0.000 context.py:151(refresh)
    59/39    0.000    0.000    0.001    0.000 context.py:180(get_meminfos)
       10    0.000    0.000    0.001    0.000 context.py:190(resolve_function_type)
       39    0.000    0.000    0.001    0.000 context.py:197(_call_incref_decref)
       10    0.000    0.000    0.000    0.000 context.py:21(__init__)
        4    0.000    0.000    0.000    0.000 context.py:21(_dispose)
       10    0.000    0.000    0.000    0.000 context.py:214(incref)
