218108028.93219793
         329067 function calls (310694 primitive calls) in 0.734 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 abstract.py:431(literal_value)
       51    0.000    0.000    0.000    0.000 abstract.py:435(literal_type)
      780    0.001    0.000    0.004    0.000 abstract.py:47(_intern)
  780/778    0.001    0.000    0.009    0.000 abstract.py:59(__call__)
      780    0.000    0.000    0.000    0.000 abstract.py:92(__init__)
     2312    0.000    0.000    0.000    0.000 abstract.py:95(key)
       33    0.001    0.000    0.002    0.000 analysis.py:118(compute_dead_maps)
      176    0.000    0.000    0.000    0.000 analysis.py:138(<genexpr>)
      143    0.000    0.000    0.000    0.000 analysis.py:141(<genexpr>)
      132    0.000    0.000    0.000    0.000 analysis.py:182(<genexpr>)
       33    0.000    0.000    0.001    0.000 analysis.py:190(compute_live_variables)
       99    0.000    0.000    0.000    0.000 analysis.py:200(fix_point_progress)
       33    0.001    0.000    0.008    0.000 analysis.py:23(compute_use_defs)
       76    0.000    0.000    0.009    0.000 analysis.py:235(compute_cfg_from_blocks)
        6    0.000    0.000    0.001    0.000 analysis.py:291(dead_branch_prune)
        6    0.000    0.000    0.000    0.000 analysis.py:304(find_branches)
        6    0.000    0.000    0.000    0.000 analysis.py:369(Unknown)
      694    0.000    0.000    0.000    0.000 analysis.py:40(<genexpr>)
        6    0.000    0.000    0.000    0.000 analysis.py:470(<listcomp>)
        3    0.000    0.000    0.000    0.000 analysis.py:501(rewrite_semantic_constants)
       25    0.000    0.000    0.000    0.000 analysis.py:528(rewrite_array_ndim)
       25    0.000    0.000    0.000    0.000 analysis.py:538(rewrite_tuple_len)
        3    0.000    0.000    0.000    0.000 analysis.py:567(find_literally_calls)
       33    0.000    0.000    0.002    0.000 analysis.py:60(compute_live_map)
      199    0.000    0.000    0.000    0.000 analysis.py:66(fix_point_progress)
      833    0.000    0.000    0.000    0.000 analysis.py:69(<genexpr>)
       66    0.000    0.000    0.002    0.000 analysis.py:71(fix_point)
       77    0.001    0.000    0.001    0.000 analysis.py:81(def_reach)
       56    0.000    0.000    0.000    0.000 analysis.py:91(liveness)
        3    0.000    0.000    0.000    0.000 array_exprs.py:25(__init__)
        9    0.000    0.000    0.000    0.000 array_exprs.py:32(match)
        1    0.000    0.000    0.001    0.001 arraydecl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arraydecl.py:160(GetItemBuffer)
        1    0.000    0.000    0.000    0.000 arraydecl.py:169(SetItemBuffer)
        1    0.000    0.000    0.000    0.000 arraydecl.py:234(ArrayAttribute)
        1    0.000    0.000    0.000    0.000 arraydecl.py:495(DTypeAttr)
        1    0.000    0.000    0.000    0.000 arraydecl.py:512(StaticGetItemArray)
        1    0.000    0.000    0.000    0.000 arraydecl.py:526(RecordAttribute)
        1    0.000    0.000    0.000    0.000 arraydecl.py:535(StaticGetItemRecord)
        1    0.000    0.000    0.000    0.000 arraydecl.py:551(StaticGetItemLiteralRecord)
        1    0.000    0.000    0.000    0.000 arraydecl.py:564(StaticSetItemRecord)
        1    0.000    0.000    0.000    0.000 arraydecl.py:577(ArrayCTypesAttribute)
        1    0.000    0.000    0.000    0.000 arraydecl.py:585(ArrayFlagsAttribute)
        1    0.000    0.000    0.000    0.000 arraydecl.py:599(NestedArrayAttribute)
       11    0.000    0.000    0.000    0.000 arraydecl.py:730(install_array_method)
        1    0.000    0.000    0.000    0.000 arraydecl.py:765(CmpOpEqArray)
        2    0.000    0.000    0.000    0.000 arraymath.py:1010(_partition_factory)
        2    0.000    0.000    0.000    0.000 arraymath.py:1051(_select_factory)
        2    0.000    0.000    0.000    0.000 arraymath.py:1984(np_interp_impl_complex_fp_inner_factory)
        2    0.000    0.000    0.000    0.000 arraymath.py:2198(np_interp_impl_inner_factory)
        1    0.001    0.001    0.220    0.220 arraymath.py:3(<module>)
        1    0.000    0.000    0.200    0.200 arraymath.py:31(_check_blas)
        2    0.000    0.000    0.000    0.000 arraymath.py:3337(_searchsorted)
        2    0.000    0.000    0.000    0.000 arraymath.py:3650(generate_xinfo)
        1    0.000    0.000    0.000    0.000 arraymath.py:3706(_corr_conv_Mode)
        4    0.000    0.000    0.000    0.000 arraymath.py:4011(window_generator)
        4    0.000    0.000    0.000    0.000 arraymath.py:693(nan_min_max_factory)
        2    0.000    0.000    0.000    0.000 arraymath.py:918(_compute_current_val_impl_gen)
        1    0.000    0.000    0.009    0.009 base.py:1(<module>)
       36    0.000    0.000    0.000    0.000 base.py:104(<lambda>)
        4    0.000    0.000    0.000    0.000 base.py:1066(add_dynamic_addr)
      590    0.001    0.000    0.005    0.000 base.py:107(_match_arglist)
        7    0.000    0.000    0.001    0.000 base.py:1087(get_abi_sizeof)
       17    0.000    0.000    0.000    0.000 base.py:1117(active_code_library)
        6    0.000    0.000    0.000    0.000 base.py:1123(push_code_library)
       17    0.000    0.000    0.000    0.000 base.py:1133(add_linking_libs)
       17    0.000    0.000    0.001    0.000 base.py:1148(__init__)
    17/16    0.000    0.000    0.008    0.000 base.py:1154(__call__)
       17    0.000    0.000    0.000    0.000 base.py:1159(__getattr__)
       17    0.000    0.000    0.001    0.000 base.py:1165(_has_loc)
       17    0.000    0.000    0.000    0.000 base.py:1174(__init__)
       17    0.000    0.000    0.001    0.000 base.py:1177(__call__)
    17/16    0.000    0.000    0.008    0.000 base.py:1183(wrapper)
      652    0.001    0.000    0.004    0.000 base.py:127(_match)
     1265    0.001    0.000    0.001    0.000 base.py:142(append)
        1    0.000    0.000    0.000    0.000 base.py:16(SparseWarning)
        1    0.000    0.000    0.000    0.000 base.py:20(SparseFormatWarning)
        1    0.000    0.000    0.000    0.000 base.py:24(SparseEfficiencyWarning)
        3    0.000    0.000    0.335    0.112 base.py:266(refresh)
        6    0.000    0.000    0.000    0.000 base.py:293(mangler)
       10    0.000    0.000    0.000    0.000 base.py:299(get_env_name)
        7    0.000    0.000    0.000    0.000 base.py:307(declare_env_global)
       33    0.000    0.000    0.000    0.000 base.py:328(get_arg_packer)
        3    0.000    0.000    0.003    0.001 base.py:338(nrt)
        6    0.000    0.000    0.000    0.000 base.py:343(subtarget)
       21    0.000    0.000    0.003    0.000 base.py:354(install_registry)
       21    0.001    0.000    0.003    0.000 base.py:370(insert_func_defn)
       21    0.000    0.000    0.000    0.000 base.py:374(_insert_getattr_defn)
       21    0.000    0.000    0.000    0.000 base.py:378(_insert_setattr_defn)
       21    0.000    0.000    0.000    0.000 base.py:382(_insert_cast_defn)
       21    0.000    0.000    0.000    0.000 base.py:386(_insert_get_constant_defn)
        3    0.000    0.000    0.000    0.000 base.py:390(insert_user_function)
      552    0.000    0.000    0.000    0.000 base.py:41(__init__)
        7    0.000    0.000    0.001    0.000 base.py:421(declare_function)
       18    0.000    0.000    0.001    0.000 base.py:437(insert_const_string)
       24    0.000    0.000    0.000    0.000 base.py:457(insert_unique_const)
       57    0.000    0.000    0.006    0.000 base.py:46(find)
       17    0.000    0.000    0.000    0.000 base.py:469(get_argument_type)
      109    0.000    0.000    0.000    0.000 base.py:485(get_value_type)
    29/25    0.000    0.000    0.003    0.000 base.py:506(get_constant_generic)
        9    0.000    0.000    0.000    0.000 base.py:516(get_constant)
       31    0.000    0.000    0.006    0.000 base.py:53(_find)
       17    0.000    0.000    0.002    0.000 base.py:532(get_function)
        4    0.000    0.000    0.000    0.000 base.py:583(get_getattr)
       31    0.000    0.000    0.005    0.000 base.py:60(_select_compatible)
        1    0.000    0.000    0.000    0.000 base.py:62(spmatrix)
       10    0.000    0.000    0.000    0.000 base.py:657(get_returned_value)
        3    0.000    0.000    0.000    0.000 base.py:663(get_return_value)
        1    0.000    0.000    0.000    0.000 base.py:680(pair_first)
        1    0.000    0.000    0.000    0.000 base.py:687(pair_second)
    63/58    0.000    0.000    0.003    0.000 base.py:694(cast)
       31    0.000    0.000    0.000    0.000 base.py:70(_best_signature)
       19    0.000    0.000    0.000    0.000 base.py:748(get_c_value)
       10    0.000    0.000    0.000    0.000 base.py:78(<lambda>)
        4    0.000    0.000    0.000    0.000 base.py:798(get_struct_type)
        4    0.000    0.000    0.000    0.000 base.py:802(<listcomp>)
       14    0.000    0.000    0.000    0.000 base.py:805(get_dummy_value)
       14    0.000    0.000    0.000    0.000 base.py:808(get_dummy_type)
       31    0.000    0.000    0.000    0.000 base.py:87(_sort_signatures)
       12    0.000    0.000    0.000    0.000 base.py:948(get_python_api)
